Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Bike,T2,Run,Gun Time, Time Difference
1,681,HARRY EDWARDS,M,TS2,,0:02:44,0:01:25,0:09:15,0:00:16,0:08:10,0:21:53,
2,679,ALICE HALL,F,TS2,AMERSHAM TRISTARS,0:03:13,0:00:58,0:09:00,0:00:16,0:08:47,0:22:17,+00:00:24
3,665,HENRY DAWSON,M,TS2,KINGSTON WHEELERS,0:03:32,0:01:12,0:08:54,0:00:31,0:08:40,0:22:52,+00:00:59
4,671,URMA COX,F,TS2,,0:03:21,0:01:19,0:09:13,0:00:18,0:10:01,0:24:14,+00:02:21
5,669,Madeleine NUTT,F,TS2,Optima,0:03:26,0:01:23,0:10:11,0:00:14,0:09:10,0:24:27,+00:02:34
6,674,Katie BENCH,F,TS2,AMERSHAM TRISTARS,0:03:39,0:01:04,0:10:06,0:00:40,0:09:10,0:24:42,+00:02:49
7,677,ADELLE HALL,F,TS2,,0:03:10,0:01:17,0:11:05,0:00:21,0:08:51,0:24:46,+00:02:53
8,678,NOAH FOLEY,M,TS2,,0:03:56,0:01:47,0:11:01,0:00:16,0:08:41,0:25:45,+00:03:52
9,667,CLAUDIA JONES,F,TS2,,0:03:35,0:01:13,0:11:56,0:00:15,0:08:55,0:25:57,+00:04:04
10,651,ISOBEL CHANT,F,TS2,THAMES TURBO,0:03:45,0:01:10,0:11:05,0:00:18,0:09:53,0:26:13,+00:04:20
11,666,BEN HOWLEY,M,TS2,THAMES TURBO,0:02:43,0:01:48,0:11:33,0:00:18,0:09:55,0:26:19,+00:04:26
12,630,ALEC THOMSON,M,TS2,,0:04:08,0:01:20,0:11:49,0:00:21,0:08:51,0:26:33,+00:04:40
13,664,JESSICA BREACH,F,TS2,,0:04:30,0:01:09,0:10:37,0:00:16,0:10:08,0:26:42,+00:04:49
14,622,THOMAS AMBRIDGE,M,TS2,East Essex Tri,0:03:57,0:02:03,0:11:34,0:00:20,0:08:55,0:26:51,+00:04:58
15,659,CHARLOTTE DAVIES,F,TS2,Optima,0:03:53,0:01:17,0:11:05,0:00:19,0:10:27,0:27:03,+00:05:10
16,650,SARAH MYTTON,F,TS2,THAMES TURBO,0:03:50,0:01:20,0:11:09,0:00:29,0:10:15,0:27:06,+00:05:13
17,639,SASKIA BELL,F,TS2,,0:04:13,0:01:24,0:11:27,0:00:21,0:09:50,0:27:18,+00:05:25
18,643,JOANNA GUILDFORD,F,TS2,THAMES TURBO,0:04:02,0:01:14,0:11:43,0:00:28,0:09:49,0:27:19,+00:05:26
19,672,ALEXANDRA FRASER,F,TS2,THAMES TURBO,0:04:19,0:01:47,0:11:30,0:00:18,0:09:35,0:27:32,+00:05:39
20,641,ZAC GOODENOUGH,M,TS2,Jetstream,0:04:19,0:01:46,0:12:15,0:00:27,0:08:47,0:27:36,+00:05:43
21,647,AMY FAWCETT,F,TS2,AMERSHAM TRISTARS,0:03:53,0:01:34,0:11:38,0:00:21,0:10:17,0:27:45,+00:05:52
22,642,ISABELLA WATERIDGE,F,TS2,THAMES TURBO,0:04:51,0:01:16,0:12:01,0:00:27,0:09:31,0:28:09,+00:06:16
23,637,CLARE WOLFENDALE,F,TS2,THAMES TURBO,0:04:02,0:01:26,0:12:08,0:00:22,0:10:35,0:28:36,+00:06:43
24,609,HARRISON DAVIES,M,TS2,,0:04:44,0:01:51,0:11:51,0:00:31,0:09:41,0:28:40,+00:06:47
25,675,MEGAN BAILEY,F,TS2,,0:04:02,0:02:31,0:11:47,0:00:44,0:09:35,0:28:41,+00:06:48
26,657,ADAM VERSTEEGH,M,TS2,,0:04:03,0:01:39,0:11:12,0:01:23,0:10:44,0:29:04,+00:07:11
27,656,DANIEL CHAPMAN,M,TS2,,0:03:42,0:01:46,0:12:01,0:00:18,0:11:59,0:29:50,+00:07:57
28,654,HAYDN POPPER,M,TS2,,0:04:44,0:01:36,0:11:47,0:00:30,0:11:19,0:29:58,+00:08:05
29,638,MARCUS TIGHE,M,TS2,,0:04:37,0:02:02,0:11:26,0:00:27,0:11:58,0:30:34,+00:08:41
30,653,JAMES ALEXANDER,M,TS2,,0:05:29,0:03:20,0:11:08,0:00:23,0:10:19,0:30:42,+00:08:49
31,649,JOSHUA OWEN,M,TS2,THAMES TURBO,0:04:52,0:01:41,0:11:55,0:00:21,0:12:09,0:31:01,+00:09:08
