Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Lap1,Lap2,Lap3,Cycle,T2,Run,Gun Time, Time Difference
1,269,"Zak WORT",M,TS2,NULL,00:03:17,00:01:12,00:02:38,00:02:33,,00:02:35,00:00:30,00:06:38,00:19:26,
2,274,"TOM SIMPSON",M,TS2,"GREENWICH TRITONS",00:03:33,00:01:13,00:02:40,00:02:42,,00:02:39,00:00:31,00:06:51,00:20:12,+00:00:46
3,248,"KIERAN DESMOND",M,TS2,"Thames Turbo Triathlon Club",00:01:57,00:01:13,00:02:44,00:02:52,,00:02:50,00:00:39,00:06:50,00:20:28,+00:01:02
4,288,"Tom Hall",M,TS2,"AMERSHAM TRISTARS",00:03:21,00:01:25,00:02:50,00:02:48,,00:02:47,00:00:32,00:06:47,00:20:33,+00:01:07
5,297,"Jemima Hall",F,TS2,"HILLINGDON SWIMMING CLUB",00:02:42,00:01:20,00:03:01,00:03:01,,00:02:58,00:00:34,00:07:14,00:20:52,+00:01:26
6,279,"FREYA THOMSON",F,TS2,"THAMES TURBO",00:03:06,00:01:17,00:02:58,00:02:56,,00:02:55,00:00:33,00:07:05,00:20:53,+00:01:27
7,291,"Jacob PATTERSON",M,TS2,"THAMES TURBO",00:02:58,00:01:22,00:03:06,00:03:06,,00:02:52,00:00:32,00:07:17,00:21:16,+00:01:50
8,286,"SAMUEL PAINTER",M,TS2,NULL,00:03:19,00:01:12,00:02:51,00:03:06,,00:02:59,00:00:38,00:07:13,00:21:20,+00:01:54
9,265,"Samuel Southall",M,TS2,"THAMES TURBO",00:04:03,00:01:25,00:02:58,00:02:57,,00:02:46,00:00:31,00:06:53,00:21:36,+00:02:10
10,296,"GRACE DEMPSEY",F,TS2,"HILLINGDON SWIMMING CLUB",00:02:59,00:01:34,00:03:04,00:02:51,,00:02:47,00:00:55,00:07:22,00:21:36,+00:02:10
11,287,"AARON STONE",M,TS2,"Discovery Tri",00:03:43,00:01:20,00:02:56,00:03:05,,00:02:54,00:00:37,00:07:30,00:22:09,+00:02:43
